Episode: 22, Steps: 200, Reward: -1494.8883108036664, Best reward: -1001.1461714783228, Avg reward: -1217.590262726991
Episode: 23, Steps: 200, Reward: -936.8467912230907, Best reward: -1001.1461714783228, Avg reward: -1205.8926180809956
Episode: 24, Steps: 200, Reward: -870.2983671324396, Best reward: -936.8467912230907, Avg reward: -1192.4688480430532
Episode: 25, Steps: 200, Reward: -1700.6354093400976, Best reward: -870.2983671324396, Avg reward: -1212.0137157852473
Episode: 26, Steps: 200, Reward: -1530.7216390502876, Best reward: -870.2983671324396, Avg reward: -1223.817712943212
Episode: 27, Steps: 200, Reward: -895.8492324333656, Best reward: -870.2983671324396, Avg reward: -1212.104552925003
Episode: 28, Steps: 200, Reward: -1691.9552537008617, Best reward: -870.2983671324396, Avg reward: -1228.6511288138258
Episode: 29, Steps: 200, Reward: -912.6549928540147, Best reward: -870.2983671324396, Avg reward: -1218.117924281832
Episode: 30, Steps: 200, Reward: -1445.1150231046545, Best reward: -870.2983671324396, Avg reward: -1225.4404113406329
Episode: 31, Steps: 200, Reward: -1675.449593447827, Best reward: -870.2983671324396, Avg reward: -1239.5031982814826
Episode: 32, Steps: 200, Reward: -1140.1941267738325, Best reward: -870.2983671324396, Avg reward: -1236.4938324782204
Episode: 33, Steps: 200, Reward: -1088.503580526041, Best reward: -870.2983671324396, Avg reward: -1232.1411780090386
Episode: 34, Steps: 200, Reward: -1027.7232929421943, Best reward: -870.2983671324396, Avg reward: -1226.3006670071288
Episode: 35, Steps: 200, Reward: -1764.0178055626866, Best reward: -870.2983671324396, Avg reward: -1241.2372541892278
Episode: 36, Steps: 200, Reward: -1023.8572102462106, Best reward: -870.2983671324396, Avg reward: -1235.3621178664434
Episode: 37, Steps: 200, Reward: -1655.1536986405554, Best reward: -870.2983671324396, Avg reward: -1246.40926472892
Episode: 38, Steps: 200, Reward: -1192.9474017768578, Best reward: -870.2983671324396, Avg reward: -1245.0384477301493
Episode: 39, Steps: 200, Reward: -1133.9882687076117, Best reward: -870.2983671324396, Avg reward: -1242.2621932545858
Episode: 40, Steps: 200, Reward: -1050.046083071183, Best reward: -870.2983671324396, Avg reward: -1237.5739954452345
Episode: 41, Steps: 200, Reward: -1267.5285788313308, Best reward: -870.2983671324396, Avg reward: -1238.2871998115702
Episode: 42, Steps: 200, Reward: -1093.6186732378392, Best reward: -870.2983671324396, Avg reward: -1234.9228154726463
Episode: 43, Steps: 200, Reward: -1468.3901544001867, Best reward: -870.2983671324396, Avg reward: -1240.2288913573632
Episode: 44, Steps: 200, Reward: -1859.2475367891109, Best reward: -870.2983671324396, Avg reward: -1253.9848612558465
Episode: 45, Steps: 200, Reward: -1187.723076947578, Best reward: -870.2983671324396, Avg reward: -1252.5443876839274
Episode: 46, Steps: 200, Reward: -1171.930318473253, Best reward: -870.2983671324396, Avg reward: -1250.8291947219984
Episode: 47, Steps: 200, Reward: -1046.8589943111558, Best reward: -870.2983671324396, Avg reward: -1246.5798155467721
Episode: 48, Steps: 200, Reward: -1326.1021812995316, Best reward: -870.2983671324396, Avg reward: -1248.2027209702978
Episode: 49, Steps: 200, Reward: -1184.0236755744106, Best reward: -870.2983671324396, Avg reward: -1246.9191400623802
Episode: 50, Steps: 200, Reward: -1052.3822996853357, Best reward: -870.2983671324396, Avg reward: -1243.1046922118499
Episode: 51, Steps: 200, Reward: -1373.985739811324, Best reward: -870.2983671324396, Avg reward: -1245.6216354349167
Episode: 52, Steps: 200, Reward: -893.4858120640819, Best reward: -870.2983671324396, Avg reward: -1238.9775632958442
Episode: 53, Steps: 200, Reward: -990.4247625426182, Best reward: -870.2983671324396, Avg reward: -1234.374733652266
Episode: 54, Steps: 200, Reward: -1147.6640366242732, Best reward: -870.2983671324396, Avg reward: -1232.7981755244843
Episode: 55, Steps: 200, Reward: -1797.937560424119, Best reward: -870.2983671324396, Avg reward: -1242.889950254835
Episode: 56, Steps: 200, Reward: -1153.2968106588014, Best reward: -870.2983671324396, Avg reward: -1241.3181407882375
Episode: 57, Steps: 200, Reward: -1207.8903465120045, Best reward: -870.2983671324396, Avg reward: -1240.741799507613
Episode: 58, Steps: 200, Reward: -1067.6579610199226, Best reward: -870.2983671324396, Avg reward: -1237.8081751264658
Episode: 59, Steps: 200, Reward: -1012.6213661266469, Best reward: -870.2983671324396, Avg reward: -1234.0550616431356
Episode: 60, Steps: 200, Reward: -1169.7283837929767, Best reward: -870.2983671324396, Avg reward: -1233.000525940674
Episode: 61, Steps: 200, Reward: -1332.5201727709925, Best reward: -870.2983671324396, Avg reward: -1234.6056815347113
Episode: 62, Steps: 200, Reward: -1810.5424483419959, Best reward: -870.2983671324396, Avg reward: -1243.7475349760966
Episode: 63, Steps: 200, Reward: -1166.6961023955673, Best reward: -870.2983671324396, Avg reward: -1242.5436063420261
Episode: 64, Steps: 200, Reward: -1237.0592813914454, Best reward: -870.2983671324396, Avg reward: -1242.4592321120172
